road,id,model_type,name,lat,lon,length,condition
N1,0,source,source,23.7060278,90.443333,0.0,
N1,1,link,link,23.7029167,90.4504167,0.814,
N1,2,link,link,23.7027778,90.4504722,0.822,
N1,3,link,link,23.7021389,90.4519722,1.0,
N1,4,link,link,23.6978886,90.4605833,2.0,
N1,5,link,link,23.6973608,90.4616667,2.13,
N1,6,link,link,23.693833,90.4691382,3.0,
N1,7,link,link,23.6936108,90.4787771,4.0,
N1,8,link,link,23.6938052,90.4805271,4.175,
N1,9,link,link,23.6947497,90.4884997,5.0,
N1,10,link,link,23.6959163,90.4981941,6.0,
N1,11,link,link,23.697333,90.50775,7.0,
N1,12,link,link,23.6979163,90.5092778,7.181,
N1,13,link,link,23.7020556,90.5157222,8.0,
N1,14,link,link,23.7021111,90.5157778,8.011,
N1,15,bridge,bridge,23.7045833,90.5188327,8.429,A
N1,16,link,link,23.7050278,90.5193327,8.503,
N1,17,link,link,23.7060833,90.5215271,8.763,
N1,18,link,link,23.7025278,90.5273882,9.503,
N1,19,bridge,bridge,23.7015278,90.5281938,9.615,B
N1,20,bridge,bridge,23.6998608,90.5307216,9.963,A
N1,21,bridge,bridge,23.6974163,90.5337774,10.377,A
N1,22,link,link,23.6966386,90.5348052,10.503,
N1,23,bridge,bridge,23.6943608,90.5376108,10.885,A
N1,24,link,link,23.6922774,90.5410552,11.313,
N1,25,link,link,23.6918052,90.5426108,11.497,
N1,26,bridge,bridge,23.6911108,90.5448886,11.745,A
N1,27,bridge,bridge,23.6910552,90.5451386,11.771,A
N1,28,link,link,23.6904163,90.546583,11.936,
N1,29,link,link,23.6865274,90.5504167,12.524,
N1,30,bridge,bridge,23.6854997,90.5512778,12.672,A
N1,31,link,link,23.678166,90.5556111,13.524,
N1,32,link,link,23.670916,90.5597778,14.524,
N1,33,link,link,23.6705827,90.5599722,14.563,
N1,34,link,link,23.6628333,90.5641111,15.524,
N1,35,bridge,bridge,23.6604167,90.5671104,15.935,B
N1,36,link,link,23.6591111,90.5697216,16.242,
N1,37,link,link,23.6583056,90.5709993,16.402,
N1,38,link,link,23.6575,90.5719716,16.524,
N1,39,link,link,23.6559722,90.5743327,16.831,
N1,40,bridge,bridge,23.6559167,90.5745271,16.852,B
N1,41,link,link,23.6540556,90.5772771,17.204,
N1,42,link,link,23.6539167,90.5774993,17.234,
N1,43,link,link,23.6525278,90.5798882,17.524,
N1,44,bridge,bridge,23.6508889,90.5826382,17.863,A
N1,45,bridge,bridge,23.6506944,90.5829993,17.904,A
N1,46,link,link,23.6476108,90.588083,18.524,
N1,47,bridge,bridge,23.6449441,90.5899163,18.878,B
N1,48,bridge,bridge,23.6397497,90.5926941,19.521,B
N1,49,link,link,23.6396941,90.5927219,19.524,
N1,50,bridge,bridge,23.6358608,90.5948052,20.044,A
N1,51,bridge,bridge,23.6341108,90.5970274,20.342,B
N1,52,link,link,23.6335552,90.5976941,20.442,
N1,53,link,link,23.6330549,90.5982774,20.524,
N1,54,link,link,23.6262771,90.6042222,21.499,
N1,55,link,link,23.6252216,90.6049722,21.629,
N1,56,bridge,bridge,23.6242216,90.6055278,21.765,B
N1,57,link,link,23.6224993,90.6066944,21.993,
N1,58,link,link,23.6204716,90.6079722,22.252,
N1,59,link,link,23.6195271,90.6085833,22.374,
N1,60,link,link,23.6173604,90.6096944,22.629,
N1,61,bridge,bridge,23.6095556,90.6121944,23.564,A
N1,62,link,link,23.609,90.6124722,23.629,
N1,63,bridge,bridge,23.6018611,90.6159722,24.503,A
N1,64,link,link,23.6009444,90.6165556,24.629,
N1,65,link,link,23.5959997,90.624666,25.629,
N1,66,bridge,bridge,23.5959441,90.6246938,25.639,A
N1,67,bridge,bridge,23.5917497,90.6293327,26.313,A
N1,68,link,link,23.5896108,90.6313882,26.629,
N1,69,bridge,bridge,23.5837497,90.6369441,27.503,A
N1,70,link,link,23.5828327,90.6378886,27.629,
N1,71,bridge,bridge,23.5825827,90.6381386,27.668,A
N1,72,bridge,bridge,23.577916,90.6419719,28.324,A
N1,73,link,link,23.5776104,90.6421108,28.363,
N1,74,link,link,23.5745271,90.6436941,28.759,
N1,75,bridge,bridge,23.572166,90.6451108,29.067,A
N1,76,bridge,bridge,23.5718327,90.6453052,29.113,A
N1,77,link,link,23.5666111,90.6481663,29.759,
N1,78,bridge,bridge,23.5639167,90.6501944,30.127,A
N1,79,link,link,23.5636944,90.6504722,30.165,
N1,80,link,link,23.5604167,90.6542222,30.697,
N1,81,link,link,23.5602222,90.6545,30.735,
N1,82,link,link,23.5599722,90.6548056,30.774,
N1,83,bridge,bridge,23.5590278,90.6559444,30.936,A
N1,84,link,link,23.5564444,90.6588611,31.348,
N1,85,link,link,23.5562222,90.6591389,31.388,
N1,86,link,link,23.5538056,90.6619722,31.783,
N1,87,bridge,bridge,23.5523333,90.6636667,32.025,A
N1,88,link,link,23.5487497,90.6678327,32.607,
N1,89,bridge,bridge,23.5474163,90.6694438,32.831,A
