,prob_A,prob_B,prob_C,prob_D,Run,Average driving time,Probs,Worst bridge delay,Worst bridge name
0,0.0,0.0,0.0,0.0,0,585.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0.0,CORNAIL HAT BOX CULVERT
1,0.0,0.0,0.0,0.0,1,585.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0.0,CORNAIL HAT BOX CULVERT
2,0.0,0.0,0.0,0.0,2,585.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0.0,CORNAIL HAT BOX CULVERT
3,0.0,0.0,0.0,0.0,3,585.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0.0,CORNAIL HAT BOX CULVERT
4,0.0,0.0,0.0,0.0,4,585.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0.0,CORNAIL HAT BOX CULVERT
5,0.0,0.0,0.0,0.0,5,585.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0.0,CORNAIL HAT BOX CULVERT
6,0.0,0.0,0.0,0.0,6,585.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0.0,CORNAIL HAT BOX CULVERT
7,0.0,0.0,0.0,0.0,7,585.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0.0,CORNAIL HAT BOX CULVERT
8,0.0,0.0,0.0,0.0,8,585.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0.0,CORNAIL HAT BOX CULVERT
9,0.0,0.0,0.0,0.0,9,585.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0.0,CORNAIL HAT BOX CULVERT
10,0.0,0.0,0.0,0.05,10,585.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",0.0,CORNAIL HAT BOX CULVERT
11,0.0,0.0,0.0,0.05,11,585.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",0.0,CORNAIL HAT BOX CULVERT
12,0.0,0.0,0.0,0.05,12,585.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",0.0,CORNAIL HAT BOX CULVERT
13,0.0,0.0,0.0,0.05,13,585.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",0.0,CORNAIL HAT BOX CULVERT
14,0.0,0.0,0.0,0.05,14,585.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",0.0,CORNAIL HAT BOX CULVERT
15,0.0,0.0,0.0,0.05,15,585.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",0.0,CORNAIL HAT BOX CULVERT
16,0.0,0.0,0.0,0.05,16,585.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",0.0,CORNAIL HAT BOX CULVERT
17,0.0,0.0,0.0,0.05,17,585.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",0.0,CORNAIL HAT BOX CULVERT
18,0.0,0.0,0.0,0.05,18,585.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",0.0,CORNAIL HAT BOX CULVERT
19,0.0,0.0,0.0,0.05,19,585.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",0.0,CORNAIL HAT BOX CULVERT
20,0.0,0.0,0.0,0.1,20,585.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",0.0,CORNAIL HAT BOX CULVERT
21,0.0,0.0,0.0,0.1,21,585.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",0.0,CORNAIL HAT BOX CULVERT
22,0.0,0.0,0.0,0.1,22,585.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",0.0,CORNAIL HAT BOX CULVERT
23,0.0,0.0,0.0,0.1,23,585.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",0.0,CORNAIL HAT BOX CULVERT
24,0.0,0.0,0.0,0.1,24,585.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",0.0,CORNAIL HAT BOX CULVERT
25,0.0,0.0,0.0,0.1,25,585.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",0.0,CORNAIL HAT BOX CULVERT
26,0.0,0.0,0.0,0.1,26,585.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",0.0,CORNAIL HAT BOX CULVERT
27,0.0,0.0,0.0,0.1,27,585.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",0.0,CORNAIL HAT BOX CULVERT
28,0.0,0.0,0.0,0.1,28,585.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",0.0,CORNAIL HAT BOX CULVERT
29,0.0,0.0,0.0,0.1,29,585.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",0.0,CORNAIL HAT BOX CULVERT
30,0.0,0.0,0.05,0.1,30,622.474924012158,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}",37.00778387643115,Ginlatoly
31,0.0,0.0,0.05,0.1,31,638.698703279939,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}",37.74207135200738,ISAMATI BOX CULVERT
32,0.0,0.0,0.05,0.1,32,585.0,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}",0.0,CORNAIL HAT BOX CULVERT
33,0.0,0.0,0.05,0.1,33,622.1762917933131,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}",36.70738005249362,BAROCONDO BRIDGE
34,0.0,0.0,0.05,0.1,34,585.0,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}",0.0,CORNAIL HAT BOX CULVERT
35,0.0,0.0,0.05,0.1,35,600.6214988644966,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}",15.138441339813314,BOSONTA PUR BOX CULVERT
36,0.0,0.0,0.05,0.1,36,585.0,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}",0.0,CORNAIL HAT BOX CULVERT
37,0.0,0.0,0.05,0.1,37,733.7444015444015,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}",37.468328405222884,BORO KUMIRA BRIDGE
38,0.0,0.0,0.05,0.1,38,585.0,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}",0.0,CORNAIL HAT BOX CULVERT
39,0.0,0.0,0.05,0.1,39,661.9839694656489,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}",38.08339792571593,SALAKHARPAD BRIDGE
40,0.0,0.0,0.1,0.2,40,585.0,"{'A': 0, 'B': 0, 'C': 0.1, 'D': 0.2}",0.0,CORNAIL HAT BOX CULVERT
41,0.0,0.0,0.1,0.2,41,585.0,"{'A': 0, 'B': 0, 'C': 0.1, 'D': 0.2}",0.0,CORNAIL HAT BOX CULVERT
42,0.0,0.0,0.1,0.2,42,660.1698546289211,"{'A': 0, 'B': 0, 'C': 0.1, 'D': 0.2}",37.754908366075156,SHAHID NAGIR
43,0.0,0.0,0.1,0.2,43,623.4710806697108,"{'A': 0, 'B': 0, 'C': 0.1, 'D': 0.2}",37.96814657476387,MOLLIK PARA BRIDGE (R)
44,0.0,0.0,0.1,0.2,44,660.4835752482811,"{'A': 0, 'B': 0, 'C': 0.1, 'D': 0.2}",38.27993617636331,CHANDINA- SHAHA PARA RCC GIDER GRIDGE
45,0.0,0.0,0.1,0.2,45,623.0037993920972,"{'A': 0, 'B': 0, 'C': 0.1, 'D': 0.2}",37.53911558148795,Ginlatoly
46,0.0,0.0,0.1,0.2,46,727.5192604006163,"{'A': 0, 'B': 0, 'C': 0.1, 'D': 0.2}",37.81287225606365,BAROCONDO BRIDGE
47,0.0,0.0,0.1,0.2,47,813.1251956181534,"{'A': 0, 'B': 0, 'C': 0.1, 'D': 0.2}",139.13720697734755,KANCHPUR PC GIRDER BRIDGE
48,0.0,0.0,0.1,0.2,48,652.9672006102212,"{'A': 0, 'B': 0, 'C': 0.1, 'D': 0.2}",37.46606044791545,Ginlatoly
49,0.0,0.0,0.1,0.2,49,623.0507960576194,"{'A': 0, 'B': 0, 'C': 0.1, 'D': 0.2}",37.51064727063868,LAL BAG RCC GIDER BRIDGE
50,0.0,0.05,0.1,0.2,50,689.8910207214121,"{'A': 0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",37.863683241357755,SALAKHARPAD BRIDGE
51,0.0,0.05,0.1,0.2,51,902.537360890302,"{'A': 0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",139.28165621559725,KANCHPUR PC GIRDER BRIDGE
52,0.0,0.05,0.1,0.2,52,637.5954372623574,"{'A': 0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",37.62587697856026,PURPU DURGAPURE BOX CUL
53,0.0,0.05,0.1,0.2,53,766.3950233281493,"{'A': 0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",38.32897414672221,BORO KUMIRA BRIDGE
54,0.0,0.05,0.1,0.2,54,652.9801829268292,"{'A': 0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",37.41259479848431,ISAMATI BOX CULVERT
55,0.0,0.05,0.1,0.2,55,773.7704280155642,"{'A': 0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",37.95670922816356,BORO KUMIRA BRIDGE
56,0.0,0.05,0.1,0.2,56,697.1958525345622,"{'A': 0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",66.95837726022411,MUHURI BRIDGE
57,0.0,0.05,0.1,0.2,57,802.80546875,"{'A': 0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",37.594661246054294,ILLIOT BAZER
58,0.0,0.05,0.1,0.2,58,742.6720930232558,"{'A': 0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",67.27751790376003,ASHIR CHAR (R)
