road,chainage,lrp,lat,lon,gap,type,name,length,id,model_type
N1,0.0,LRPS,23.7060278,90.443333,,Others,Start of Road  after Jatrabari Flyover infront of filling station.,0.0,0,sink
N1,0.814,LRPSa,23.7029167,90.4504167,,Culvert,Box Culvert,814.0,1,link
N1,0.822,LRPSb,23.7027778,90.4504722,,CrossRoad,Intersection with Z1101,8.0,2,link
N1,1.0,LRP001,23.7021389,90.4519722,,KmPost,Km post missing,178.0,3,link
N1,2.0,LRP002,23.6978886,90.4605833,,KmPost,Km post missing,1000.0,4,link
N1,2.13,LRP002a,23.6973608,90.4616667,,Culvert,Box culvert,130.0,5,link
N1,3.0,LRP003,23.693833,90.4691382,,KmPost,Km post missing,870.0,6,link
N1,4.0,LRP004,23.6936108,90.4787771,,KmPost,Km post missing,1000.0,7,link
N1,4.175,LRP004a,23.6938052,90.4805271,,"SideRoad,Right",Road to Narayanganj(R111),175.0,8,link
N1,5.0,LRP005,23.6947497,90.4884997,,KmPost,Km post missing,825.0,9,link
N1,6.0,LRP006,23.6959163,90.4981941,,KmPost,Km post missing,1000.0,10,link
N1,7.0,LRP007,23.697333,90.50775,,KmPost,Km post missing,1000.0,11,link
N1,7.181,LRP007a,23.6979163,90.5092778,,CrossRoad,"R110,Left to Demra, Right to Narayanganj",181.0,12,link
N1,8.0,LRP008,23.7020556,90.5157222,,KmPost,Km post missing,819.0,13,link
N1,8.011,LRP008a,23.7021111,90.5157778,BS,Bridge,Kachpur bridge,10.99999999999909,14,bridge
N1,8.429,LRP008b,23.7045833,90.5188327,BE,Bridge,Bridge end,418.0000000000009,15,link
N1,8.503,LRP009,23.7050278,90.5193327,,KmPost,"Chittagong 251 km,Comilla 84 km",74.0,16,link
N1,8.763,LRP009a,23.7060833,90.5215271,,"SideRoad,Left",Road to Sylhet (N2),260.0,17,link
N1,9.503,LRP010,23.7025278,90.5273882,,KmPost,Km post missing,740.0,18,link
N1,9.615,LRP010a,23.7015278,90.5281938,,Culvert,Box culvert,112.0,19,link
N1,9.963,LRP010b,23.6998608,90.5307216,,Culvert,Box culvert,348.0,20,link
N1,10.377,LRP010c,23.6974163,90.5337774,,Culvert,Box culvert,414.0,21,link
N1,10.503,LRP011,23.6966386,90.5348052,,KmPost,Km post missing,126.0,22,link
N1,10.885,LRP011a,23.6943608,90.5376108,,Culvert,Box culvert,382.0,23,link
N1,11.313,LRP011b,23.6922774,90.5410552,,Culvert,Box culvert,428.0,24,link
N1,11.497,LRP012,23.6918052,90.5426108,,KmPost,"Chittagong 248 km,Comilla 81 km",184.0,25,link
N1,11.745,LRP012a,23.6911108,90.5448886,BS,Bridge,Bridge start,248.0,26,bridge
N1,11.771,LRP012b,23.6910552,90.5451386,BE,Bridge,Bridge end,26.0,27,link
N1,11.936,LRP012c,23.6904163,90.546583,,"SideRoad,Right",Right to Syedpur (R113) left to Joydebpur N105),165.0,28,link
N1,12.524,LRP013,23.6865274,90.5504167,,KmPost,"Ctg 247 km,Comilla 80 km",588.0,29,link
N1,12.672,LRP013a,23.6854997,90.5512778,,Culvert,Box culvert,148.0,30,link
N1,13.524,LRP014,23.678166,90.5556111,,KmPost,Km post missing,852.0,31,link
N1,14.524,LRP015,23.670916,90.5597778,,KmPost,Km post missing,1000.0,32,link
N1,14.563,LRP015a,23.6705827,90.5599722,,Culvert,Box culvert,39.0,33,link
N1,15.524,LRP016,23.6628333,90.5641111,,KmPost,Km post missing,961.0,34,link
N1,15.935,LRP016a,23.6604167,90.5671104,,"SideRoad,Right",Road to MinanbariZ1061),411.0,35,link
N1,16.242,LRP016b,23.6591111,90.5697216,BS,Bridge,Langalbandhu bridge,307.0,36,bridge
N1,16.402,LRP016c,23.6583056,90.5709993,BE,Bridge,Bridge end,160.0,37,link
N1,16.524,LRP017,23.6575,90.5719716,,KmPost,Km post missing,122.0,38,link
N1,16.831,LRP017a,23.6559722,90.5743327,BS,Bridge,Bridge start,307.0,39,bridge
N1,16.852,LRP017b,23.6559167,90.5745271,BE,Bridge,Bridge end,21.0,40,link
N1,17.204,LRP017c,23.6540556,90.5772771,BS,Bridge,Bridge start,352.0,41,bridge
N1,17.234,LRP017d,23.6539167,90.5774993,BE,Bridge,Bridge end,30.0,42,link
N1,17.524,LRP018,23.6525278,90.5798882,,KmPost,Km post missing,290.0,43,link
N1,17.863,LRP018a,23.6508889,90.5826382,BS,Bridge,Bridge start,339.0,44,bridge
N1,17.904,LRP018b,23.6506944,90.5829993,BE,Bridge,Bridge end,41.0,45,link
N1,18.524,LRP019,23.6476108,90.588083,,KmPost,Km post missing,620.0,46,link
N1,18.878,LRP019a,23.6449441,90.5899163,,Culvert,Box culvert,354.0,47,link
N1,19.521,LRP019b,23.6397497,90.5926941,,Culvert,Box culvert,643.0,48,link
N1,19.524,LRP020,23.6396941,90.5927219,,KmPost,Km post missing,3.0,49,link
N1,20.044,LRP020a,23.6358608,90.5948052,,"SideRoad,Left",Left to Sonargaon (Z1089) Right to Morgrapara ( Z1066),520.0,50,link
