,prob_A,prob_B,prob_C,prob_D,Run,Average driving time,Probs,Worst bridge delay,Worst bridge name
0,0.0,0.0,0.0,0.0,0,387.2260032338674,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0.0,bridge at id 1004
1,0.0,0.0,0.0,0.0,1,387.4414540113824,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0.0,bridge at id 1004
2,0.0,0.0,0.0,0.0,2,387.48969772652146,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0.0,bridge at id 1004
3,0.0,0.0,0.0,0.0,3,387.2386921779928,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0.0,bridge at id 1004
4,0.0,0.0,0.0,0.0,4,385.5014321386604,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0.0,bridge at id 1004
5,0.0,0.0,0.0,0.0,5,386.3497853289787,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0.0,bridge at id 1004
6,0.0,0.0,0.0,0.0,6,387.11168611906334,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0.0,bridge at id 1004
7,0.0,0.0,0.0,0.0,7,389.2417981651376,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0.0,bridge at id 1004
8,0.0,0.0,0.0,0.0,8,388.48888073394494,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0.0,bridge at id 1004
9,0.0,0.0,0.0,0.0,9,386.4264095500459,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0.0,bridge at id 1004
10,0.0,0.0,0.0,0.05,10,400.8871121893839,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",139.20075258069278,NABAKALASH
11,0.0,0.0,0.0,0.05,11,406.1180627116149,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",140.23359350496068,SHOMO PUR BOX CULVERT
12,0.0,0.0,0.0,0.05,12,411.4100844052928,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",140.47181831836724,NORTH NAGDA SLAB CULVERT
13,0.0,0.0,0.0,0.05,13,409.4158900880327,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",140.11559532963645,MONSIR HAT BAZAR CULVERT
14,0.0,0.0,0.0,0.05,14,410.23622279601625,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",139.45099672029127,NORTH NAGDA SLAB CULVERT
15,0.0,0.0,0.0,0.05,15,399.7717923243919,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",139.7839573726229,ROUTH BAG BOX CULVERT
16,0.0,0.0,0.0,0.05,16,435.94468887492144,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",140.51230869549468,Momtazer Bathroom
17,0.0,0.0,0.0,0.05,17,393.9895615099055,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",67.75832160823518,MORICHIA
18,0.0,0.0,0.0,0.05,18,424.55401057653194,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",67.43594491590532,Daribisnondi
19,0.0,0.0,0.0,0.05,19,419.1028950765259,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",139.86086518631203,BOLG BAILEY WITH STEEL DECK
20,0.0,0.0,0.05,0.1,20,662.9427683095348,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}",141.00203495129102,BARIPOLE BOX
21,0.0,0.0,0.05,0.1,21,549.8978228879749,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}",140.47331736757613,TOWN HALL MORE CULVERT
22,0.0,0.0,0.05,0.1,22,746.2946797722132,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}",140.72533212148417,ALAMDARPARA BOX CULVERT
23,0.0,0.0,0.05,0.1,23,671.4527110289587,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}",141.31992459216784,MANDAR GRAM BOX CULVERT
24,0.0,0.0,0.05,0.1,24,646.6233562691132,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}",140.79094140121026,KANORAM SLAB CULVERT
25,0.0,0.0,0.05,0.1,25,627.1384299093886,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}",140.84770623746618,PRAIL GRAM BRIDGE
26,0.0,0.0,0.05,0.1,26,550.6615830697394,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}",140.97920821145192,PALONG KHALI BAZAR BRIDGE
27,0.0,0.0,0.05,0.1,27,649.1624091778202,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}",140.92735033355353,KALIBARI RCC GIDER BRIDGE
28,0.0,0.0,0.05,0.1,28,598.5056593740504,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}",140.6858811219343,DARMACHPUR CULVERT
29,0.0,0.0,0.05,0.1,29,818.8932107775455,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}",140.82355084178445,BALU KHALI -2 BOX CULVERT
30,0.0,0.05,0.1,0.2,30,1347.9835133598635,"{'A': 0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",141.75607025174503,Mokam Bazar Box Culvert
31,0.0,0.05,0.1,0.2,31,1236.9990200255645,"{'A': 0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",141.83936709650118,MANDAR GRAM BOX CULVERT
32,0.0,0.05,0.1,0.2,32,1083.1231227504034,"{'A': 0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",140.83805656046698,KORER HAT BAZER
33,0.0,0.05,0.1,0.2,33,1314.6365167811325,"{'A': 0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",141.7101974467999,PACH GORIA SLAB CULVERT
34,0.0,0.05,0.1,0.2,34,953.7096265123619,"{'A': 0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",141.3577301332589,POLARGHAT BAZAR BRIDGE
35,0.0,0.05,0.1,0.2,35,1292.9418849744054,"{'A': 0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",141.2863110326519,ROJUBPUR BRIDGE BOX CULVERT
36,0.0,0.05,0.1,0.2,36,1275.1990141448778,"{'A': 0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",142.3834758318347,SHANTIR HAT
37,0.0,0.05,0.1,0.2,37,1125.824704018676,"{'A': 0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",141.83123397717526,LAXMISORA BRIDGE
38,0.0,0.05,0.1,0.2,38,1172.1765300961051,"{'A': 0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",141.18254547753077,Kutalpur Bridge
39,0.0,0.05,0.1,0.2,39,1206.1351087325859,"{'A': 0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",141.27533117316025,UKLIA-SHAHABMARKAT
40,0.05,0.1,0.2,0.4,40,2413.0779922223824,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",141.79203541653553,OKYIA STATION
