,prob_A,prob_B,prob_C,prob_D,Run,Average driving time,Probs,Worst bridge delay,Worst bridge name
20,0.0,0.0,0.05,0.1,20,662.9427683095348,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}",141.00203495129102,BARIPOLE BOX
21,0.0,0.0,0.05,0.1,21,549.8978228879749,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}",140.47331736757613,TOWN HALL MORE CULVERT
22,0.0,0.0,0.05,0.1,22,746.2946797722132,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}",140.72533212148417,ALAMDARPARA BOX CULVERT
23,0.0,0.0,0.05,0.1,23,671.4527110289587,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}",141.31992459216784,MANDAR GRAM BOX CULVERT
24,0.0,0.0,0.05,0.1,24,646.6233562691132,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}",140.79094140121026,KANORAM SLAB CULVERT
25,0.0,0.0,0.05,0.1,25,627.1384299093886,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}",140.84770623746618,PRAIL GRAM BRIDGE
26,0.0,0.0,0.05,0.1,26,550.6615830697394,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}",140.97920821145192,PALONG KHALI BAZAR BRIDGE
27,0.0,0.0,0.05,0.1,27,649.1624091778202,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}",140.92735033355353,KALIBARI RCC GIDER BRIDGE
28,0.0,0.0,0.05,0.1,28,598.5056593740504,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}",140.6858811219343,DARMACHPUR CULVERT
29,0.0,0.0,0.05,0.1,29,818.8932107775455,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}",140.82355084178445,BALU KHALI -2 BOX CULVERT
