road,id,condition,bridge_name,betweenness_centrality,closeness_centrality,degreecentrality_centrality
N1,1004,A,bridge at id 1004,0.0013679885755037298,0.0017086037039137402,0.00034217279726261765
N1,1010,A,bridge at id 1010,0.0034164583710256224,0.0017262582635938777,0.00034217279726261765
N1,1017,C,KANCHPUR PC GIRDER BRIDGE,0.005801011646405048,0.001747274461095118,0.00034217279726261765
N1,1021,B,KATCHPUR BOX CULVERT,0.4336456743304239,0.0017538500684736674,0.00034217279726261765
N1,1022,A,NOYAPARA CULVERT,0.4336729006053601,0.0017540948135512753,0.00034217279726261765
N1,1023,A,ADUPUR CULVERT,0.4337002439825541,0.0017543406800538818,0.00034217279726261765
N1,1025,A,NAYABARI KASPUR BOX CULVERT,0.43375528204371544,0.0017548357809964946,0.00034217279726261765
N1,1028,A,KHAS PARA BOX CULVERT,0.4338387174023908,0.0017555868661077423,0.00034217279726261765
N1,1029,A,DAWAN BAG BOX CULVERT,0.43386676339313157,0.00175583948052385,0.00034217279726261765
N1,1030,B,NAYABARI BOX CULVERT,0.4338949264861301,0.0017560932228622007,0.00034217279726261765
N1,1033,A,MADAN PUR (R),0.4339801183786724,0.0017568612268993038,0.00034217279726261765
N1,1034,A,Madanpur Bridge(R),0.43400874988070204,0.001757119490438354,0.00034217279726261765
N1,1036,A,KAWTALA BOX CULVERT,0.43406636419153477,0.001757639416590011,0.00034217279726261765
N1,1040,B,MALIBAG BOX CULVERT,0.4341829980402937,0.0017586928925036956,0.00034217279726261765
N1,1045,B,LANGOLBANDO PC GIDER BRIDGE,0.4343314251520426,0.0017600353633110467,0.00034217279726261765
N1,1049,B,DARIKANDI BRIDGE (R),0.434452274682082,0.0017611299192622117,0.00034217279726261765
N1,1050,A,Darikandi Bridge (R),0.4344827798202363,0.0017614064250199872,0.00034217279726261765
N1,1051,B,SONARKALI BRIDGE(R),0.4345134020606484,0.0017616840795600039,0.00034217279726261765
N1,1053,C,MOLLIK PARA BRIDGE (R),0.434574997848246,0.0017622428391737086,0.00034217279726261765
N1,1056,A,KRIBORDI BOX CULVERT,0.43466964574810485,0.0017630896207562554,0.00034217279726261765
N1,1057,B,SHADIPUR BOX CULVERT,0.4347050399055219,0.0017634236666842658,0.00034217279726261765
N1,1060,A,MARIKHALL BRIDGE,0.4348153502323601,0.0017644265643852687,0.00034217279726261765
N1,1063,B,SANGAKADI CULVERT,0.4349256605591984,0.0017654306034752252,0.00034217279726261765
N1,1068,B,ASHIR CHAR (R),0.4351095111039288,0.0017671065436756482,0.00034217279726261765
N1,1069,A,ASHIR CHAR (Right),0.4351462812128749,0.0017674421136249074,0.00034217279726261765
N1,1071,C,MEGHNA BRIDGE,0.4352198214307671,0.0017681136360130111,0.00034217279726261765
N1,1074,A,TATULTALA CULVERT,0.4353301317576053,0.0017691218769096755,0.00034217279726261765
N1,1075,A,BAILAKANDI CULVERT,0.4353669018665514,0.0017694582127836317,0.00034217279726261765
N1,1077,A,MALUAKANDI CULVEDRT,0.4354404420844436,0.0017701312683316096,0.00034217279726261765
N1,1079,A,BHATIR CHAR BRIDGE,0.43551398230233573,0.0017708048360998182,0.00034217279726261765
N1,1083,A,ANARPUR BRIDGE(R),0.4356610627381201,0.0017721535106376206,0.00034217279726261765
N1,1086,A,VITIKANDA - ANAR PUR CULVERT,0.43577137306495833,0.0017731663654761323,0.00034217279726261765
N1,1091,A,ALI PURA P.C BRIDGE (RIGHT),0.4359552236096888,0.0017748570321536076,0.00034217279726261765
N1,1095,A,VOBAR CHAR BRIDGE(R),0.4361023040454731,0.0017762118885553911,0.00034217279726261765
N1,1096,A,BOBAIRCHAR BRIDGE(R),0.4361390741544192,0.0017765509259188902,0.00034217279726261765
N1,1098,A,PURRANBUICHE BOX CULVERT,0.4362126143723114,0.001777229389080058,0.00034217279726261765
N1,1099,A,NOYAPARA,0.43624938448125744,0.0017775688150260978,0.00034217279726261765
N1,1101,A,MADHAYA BAUSHIA BRIDGE(R),0.43632292469914963,0.001778248056020442,0.00034217279726261765
N1,1103,C,BOCTAR KANDI BOX CULVERT,0.4363964649170418,0.001778927816313605,0.00034217279726261765
N1,1105,A,bridge at id 1105,0.436470005134934,0.0017796080965013423,0.00034217279726261765
