road,id,model_type,condition,name,lat,lon,length,bridge_name
N1,1000,sourcesink,,SoSi1,23.7060278,90.443333,0.0,
N1,1001,link,,,23.7029167,90.4504167,814.0,
N1,1002,link,,,23.7027778,90.4504722,8.0,
N1,1003,link,,,23.7021389,90.4519722,178.0,
N1,1004,bridge,A,,23.69873866,90.4588610799999,11.3,bridge at id 1004
N1,1005,link,,,23.6978886,90.4605833,1000.0,
N1,1006,link,,,23.6973608,90.4616667,130.0,
N1,1007,link,,,23.693833,90.4691382,870.0,
N1,1008,link,,,23.6936108,90.4787771,1000.0,
N1,1009,link,,,23.6938052,90.4805271,175.0,
N1,1010,bridge,A,,23.6946638363636,90.4877749181818,6.6,bridge at id 1010
N1,1011,link,,,23.6947497,90.4884997,825.0,
N1,1012,link,,,23.6959163,90.4981941,1000.0,
N1,1013,link,,,23.697333,90.50775,1000.0,
N1,1014,link,,,23.6979163,90.5092778,181.0,
N1,1015,link,,,23.7020556,90.5157222,819.0,
N1,1016,link,,,23.7021111,90.5157778,10.99999999999909,
N1,1017,bridge,C,,23.7045833,90.5188327,418.0000000000009,KANCHPUR PC GIRDER BRIDGE
N1,1018,link,,,23.7050278,90.5193327,74.0,
N1,6015,intersection,,,23.9300271,90.4525833,260.0,
N1,1020,link,,,23.7025278,90.5273882,740.0,
N1,1021,bridge,B,,23.7015278,90.5281938,112.0,KATCHPUR BOX CULVERT
N1,1022,bridge,A,,23.6998608,90.5307216,348.0,NOYAPARA CULVERT
N1,1023,bridge,A,,23.6974163,90.5337774,414.0,ADUPUR CULVERT
N1,1024,link,,,23.6966386,90.5348052,126.0,
N1,1025,bridge,A,,23.6943608,90.5376108,382.0,NAYABARI KASPUR BOX CULVERT
N1,1026,link,,,23.6922774,90.5410552,428.0,
N1,1027,link,,,23.6918052,90.5426108,184.0,
N1,1028,bridge,A,,23.6911108,90.5448886,248.0,KHAS PARA BOX CULVERT
N1,1029,bridge,A,,23.6910552,90.5451386,26.0,DAWAN BAG BOX CULVERT
N1,1030,bridge,B,,23.6909119315151,90.5454624957575,10.6,NAYABARI BOX CULVERT
N1,1031,link,,,23.6904163,90.546583,165.0,
N1,1032,link,,,23.6865274,90.5504167,588.0,
N1,1033,bridge,A,,23.6854997,90.5512778,148.0,MADAN PUR (R)
N1,1034,bridge,A,,23.6853619779342,90.5513591765258,27.5,Madanpur Bridge(R)
N1,1035,link,,,23.678166,90.5556111,852.0,
N1,1036,bridge,A,,23.6778035,90.5558194349999,11.9,KAWTALA BOX CULVERT
N1,1037,link,,,23.670916,90.5597778,1000.0,
N1,1038,link,,,23.6705827,90.5599722,39.0,
N1,1039,link,,,23.6628333,90.5641111,961.0,
N1,1040,bridge,B,,23.6604167,90.5671104,411.0,MALIBAG BOX CULVERT
N1,1041,link,,,23.6591111,90.5697216,307.0,
N1,1042,link,,,23.6583056,90.5709993,160.0,
N1,1043,link,,,23.6575,90.5719716,122.0,
N1,1044,link,,,23.6559722,90.5743327,307.0,
N1,1045,bridge,B,,23.6559167,90.5745271,21.0,LANGOLBANDO PC GIDER BRIDGE
N1,1046,link,,,23.6540556,90.5772771,352.0,
N1,1047,link,,,23.6539167,90.5774993,30.0,
N1,1048,link,,,23.6525278,90.5798882,290.0,
N1,1049,bridge,B,,23.6508889,90.5826382,339.0,DARIKANDI BRIDGE (R)
N1,1050,bridge,A,,23.6506944,90.5829993,41.0,Darikandi Bridge (R)
N1,1051,bridge,B,,23.6497543993548,90.5845490085483,24.5,SONARKALI BRIDGE(R)
N1,1052,link,,,23.6476108,90.588083,620.0,
N1,1053,bridge,C,,23.6449441,90.5899163,354.0,MOLLIK PARA BRIDGE (R)
N1,1054,link,,,23.6397497,90.5926941,643.0,
N1,1055,link,,,23.6396941,90.5927219,3.0,
N1,1056,bridge,A,,23.6358608,90.5948052,520.0,KRIBORDI BOX CULVERT
N1,1057,bridge,B,,23.6341108,90.5970274,298.0,SHADIPUR BOX CULVERT
N1,1058,link,,,23.6335552,90.5976941,100.0,
N1,1059,link,,,23.6330549,90.5982774,82.0,
N1,1060,bridge,A,,23.6284668507692,90.6023015723077,89.2,MARIKHALL BRIDGE
N1,1061,link,,,23.6262771,90.6042222,975.0,
N1,1062,link,,,23.6252216,90.6049722,130.0,
N1,1063,bridge,B,,23.6242216,90.6055278,136.0,SANGAKADI CULVERT
N1,1064,link,,,23.6224993,90.6066944,228.0,
N1,1065,link,,,23.6204716,90.6079722,259.0,
N1,1066,link,,,23.6195271,90.6085833,122.0,
N1,1067,link,,,23.6173604,90.6096944,255.0,
N1,1068,bridge,B,,23.613587384385,90.6109029561497,116.8,ASHIR CHAR (R)
N1,1069,bridge,A,,23.6095556,90.6121944,935.0,ASHIR CHAR (Right)
N1,1070,link,,,23.609,90.6124722,65.0,
N1,1071,bridge,C,,23.6018611,90.6159722,874.0,MEGHNA BRIDGE
N1,1072,link,,,23.6009444,90.6165556,126.0,
N1,1073,link,,,23.5959997,90.624666,1000.0,
N1,1074,bridge,A,,23.5959441,90.6246938,10.0,TATULTALA CULVERT
N1,1075,bridge,A,,23.5917497,90.6293327,674.0,BAILAKANDI CULVERT
N1,1076,link,,,23.5896108,90.6313882,316.0,
N1,1077,bridge,A,,23.5837497,90.6369441,874.0,MALUAKANDI CULVEDRT
N1,1078,link,,,23.5828327,90.6378886,126.0,
N1,1079,bridge,A,,23.5825827,90.6381386,39.0,BHATIR CHAR BRIDGE
N1,1080,link,,,23.577916,90.6419719,656.0,
N1,1081,link,,,23.5776104,90.6421108,39.0,
N1,1082,link,,,23.5745271,90.6436941,396.0,
N1,1083,bridge,A,,23.572166,90.6451108,308.0,ANARPUR BRIDGE(R)
N1,1084,link,,,23.5718327,90.6453052,46.0,
N1,1085,link,,,23.5666111,90.6481663,646.0,
N1,1086,bridge,A,,23.5639167,90.6501944,368.0,VITIKANDA - ANAR PUR CULVERT
N1,1087,link,,,23.5636944,90.6504722,38.0,
N1,1088,link,,,23.5604167,90.6542222,532.0,
N1,1089,link,,,23.5602222,90.6545,38.0,
N1,1090,link,,,23.5599722,90.6548056,39.0,
N1,1091,bridge,A,,23.5590278,90.6559444,162.0,ALI PURA P.C BRIDGE (RIGHT)
N1,1092,link,,,23.5564444,90.6588611,412.0,
N1,1093,link,,,23.5562222,90.6591389,40.0,
N1,1094,link,,,23.5538056,90.6619722,395.0,
N1,1095,bridge,A,,23.5523333,90.6636667,242.0,VOBAR CHAR BRIDGE(R)
N1,1096,bridge,A,,23.5517421907216,90.6643538752577,28.9,BOBAIRCHAR BRIDGE(R)
N1,1097,link,,,23.5487497,90.6678327,582.0,
N1,1098,bridge,A,,23.5474163,90.6694438,224.0,PURRANBUICHE BOX CULVERT
N1,1099,bridge,A,,23.5469441,90.6699993,77.0,NOYAPARA
N1,1100,link,,,23.5442219,90.6731104,443.0,
N1,1101,bridge,A,,23.54268543125,90.6748292125,59.2,MADHAYA BAUSHIA BRIDGE(R)
N1,1102,link,,,23.542583,90.6749438,256.0,
N1,1103,bridge,C,,23.5393910168,90.6784577888,5.1,BOCTAR KANDI BOX CULVERT
N1,1104,link,,,23.5362497,90.681916,1000.0,
N1,1105,bridge,A,,23.536083,90.6821382,34.0,bridge at id 1105
N1,1106,link,,,23.5358608,90.6823604,40.0,
N1,1107,link,,,23.5341386,90.6843052,275.0,
N1,1108,link,,,23.5301938,90.688833,651.0,
N1,1109,bridge,A,,23.5301519626506,90.6897951837349,8.4,CHAR BOUSHEA (2)
N1,1110,bridge,B,,23.529916,90.6952219,664.0,CHAR BOWSHIA BRIDGE(R)
N1,1111,link,,,23.5301382,90.6984997,336.0,
N1,1112,bridge,C,,23.5303844733,90.7024402743,1408.8,Daud Kandi Bridge
N1,1113,link,,,23.5307493,90.7082778,1000.0,
N1,1114,link,,,23.5307771,90.7090278,78.0,
N1,1115,link,,,23.5313882,90.7153611,355.0,
N1,1116,link,,,23.5314716,90.7172216,426.0,
N1,1117,link,,,23.5315271,90.7173604,77.0,
N1,1118,link,,,23.5315827,90.7176104,17.0,
N1,1119,link,,,23.5317216,90.7180271,47.0,
N1,1120,link,,,23.5322346,90.7226298386,513.0,
N1,1121,bridge,C,,23.5324186,90.7242807234,21.8,BALDHA KHAL RCC GIDER BRIDGE
N1,1122,link,,,23.5327216,90.7269993,487.0,
N1,1123,bridge,B,,23.5317587831999,90.7291780095,6.0,MAIS PARA BOX CULVERT
N1,1124,link,,,23.528916,90.7356108,1000.0,
N1,1125,link,,,23.5289993,90.7419441,654.0,
N1,1126,link,,,23.5293882,90.7514167,967.0,
N1,1127,link,,,23.5293882,90.7515833,17.0,
N1,1128,link,,,23.529416,90.75175,24.0,
N1,1129,bridge,C,,23.5298050611,90.75825325,16.5,SHAHID NAGIR
N1,1130,link,,,23.5299993,90.7615,1000.0,
N1,1131,link,,,23.5304438,90.7713049,1000.0,
N1,1132,link,,,23.5304993,90.7731104,185.0,
N1,1133,intersection,,,23.5308049,90.7811104,815.0,
N1,1134,bridge,C,,23.5307493,90.7816104,53.0,SARKAR BARI CULVERT
N1,1135,link,,,23.530666,90.7821938,66.0,
N1,1136,link,,,23.5312216,90.7895552,773.0,
N1,1137,link,,,23.531166,90.7907219,108.0,
N1,1138,bridge,C,,23.5306938,90.7924441,955.0,AMIRABATH SLAB CULVERT
N1,1139,link,,,23.5308604,90.8002222,45.0,
N1,1140,link,,,23.5308882,90.8041389,403.0,
N1,1141,link,,,23.530916,90.8043611,20.0,
N1,1142,link,,,23.5316382,90.8099167,577.0,
N1,1143,bridge,C,,23.5318234765,90.8110155135,15.9,Ginlatoly
N1,1144,link,,,23.5332493,90.8194716,1000.0,
N1,1145,link,,,23.5346663,90.8249716,594.0,
N1,1146,link,,,23.5347219,90.8251104,16.0,
N1,1147,link,,,23.5344997,90.8287216,390.0,
N1,1148,bridge,A,,23.5329743291,90.8309774761999,12.2,RAIPUR BOX CULVERT
N1,1149,link,,,23.5292216,90.8365274,1000.0,
N1,1150,link,,,23.5270549,90.8391386,367.0,
N1,1151,link,,,23.523166,90.8438886,633.0,
N1,1152,bridge,C,,23.5229166652,90.8442186132,4.5,AITAL BANGA BOX CULVERT
N1,1153,link,,,23.5174993,90.8513889,1000.0,
N1,1154,link,,,23.5170827,90.8607778,1000.0,
N1,1155,link,,,23.5135833,90.8697771,1000.0,
N1,1156,bridge,B,,23.5133056,90.8703049,64.0,ILLIOT BAZER
N1,1157,intersection,,,23.5131111,90.8706382,42.0,
N1,1158,intersection,,,23.5126667,90.871416,102.0,
N1,1159,link,,,23.5088056,90.8778604,792.0,
N1,1160,link,,,23.506,90.8869163,1000.0,
N1,1161,link,,,23.5056111,90.8958886,922.0,
N1,1162,link,,,23.5056389,90.8966108,78.0,
N1,1163,bridge,B,,23.5060024341,90.9021745389,5.9,KHAT GHOR BOX CULVERT
N1,1164,link,,,23.5062778,90.9063889,1000.0,
N1,1165,link,,,23.50575,90.91525,911.0,
N1,1166,link,,,23.5057222,90.9160278,89.0,
N1,1167,bridge,B,,23.5056131416,90.9214660218,3.0,BAKRA BOX CULVERT
N1,1168,link,,,23.5055278,90.9257216,1000.0,
N1,1169,link,,,23.5042778,90.9354163,1000.0,
N1,1170,link,,,23.5043333,90.9354719,9.0,
N1,1171,link,,,23.5038611,90.9371386,264.0,
N1,1172,link,,,23.5028611,90.9412774,352.0,
N1,1173,bridge,B,,23.5024077848,90.9432418928,6.0,MATIA BAZER
N1,1174,link,,,23.5020278,90.9448886,375.0,
N1,1175,bridge,A,,23.5013551924,90.9473844088999,3.0,SONAPUR BOX CULVERT
N1,1176,link,,,23.4995274,90.9541667,1000.0000000000073,
N1,1177,link,,,23.4986386,90.9651111,1000.0,
N1,1178,link,,,23.4980552,90.9660278,273.9999999999927,
N1,1179,link,,,23.4972774,90.9674716,183.0,
N1,1180,bridge,B,,23.495896314,90.9715772516,4.6,KARON KHAL SLAB CULVERT
N1,1181,link,,,23.4942219,90.9765549,1000.0,
N1,1182,bridge,A,,23.4951386,90.9829993,694.0,MILL GHAT BOX CULVERT
N1,1183,link,,,23.4942497,90.985833,306.0,
N1,1184,link,,,23.4911386,90.9950274,1000.0,
N1,1185,link,,,23.4894441,91.0033056,890.0,
N1,1186,link,,,23.4893886,91.0034722,22.0,
N1,1187,link,,,23.4896108,91.0043056,71.0,
N1,1188,link,,,23.4893052,91.0112778,734.0,
N1,1189,bridge,C,,23.4890552,91.0120278,84.0,CHANDINA- SHAHA PARA RCC GIDER GRIDGE
N1,1190,link,,,23.4889441,91.01225,30.0,
N1,1191,link,,,23.488333,91.0140833,198.0,
N1,1192,link,,,23.4846386,91.0229438,1020.0,
N1,1193,link,,,23.4827771,91.0321382,1000.0,
N1,1194,bridge,B,,23.481166,91.0404441,913.0,CORI PAI BOX CULVERT
N1,1195,link,,,23.4814716,91.0419719,141.0,
N1,1196,bridge,B,,23.4820827,91.0504167,871.0,COREPAI BOX CULVERT
N1,1197,link,,,23.4821382,91.0516944,129.0,
N1,1198,bridge,A,,23.4815271,91.0590278,760.0,NIMSHAR SLAB CULVERT
N1,1199,link,,,23.4815549,91.0613611,240.0,
N1,1200,link,,,23.4801104,91.0706382,1000.0,
N1,1201,bridge,C,,23.4770827,91.0789993,944.0,KABILA DUBARCHAR SLAB CULVERT
N1,1202,link,,,23.4770271,91.0794716,56.0,
N1,1203,link,,,23.4781938,91.0889997,1000.0,
N1,1204,link,,,23.4775549,91.0986663,1000.0,
N1,1205,link,,,23.4778604,91.1036111,513.0,
N1,1206,link,,,23.4779993,91.1055278,487.0,
N1,1207,bridge,B,,23.4781159049382,91.1070332074074,3.0,NAZIRA BOX CULVERT
N1,1208,bridge,A,,23.4789438,91.1177216,972.0,TIPRA BAZAR BOX CULVERT
N1,1209,intersection,,,23.4789716,91.1179993,28.0,
N1,1210,intersection,,,23.4789716,91.118166,17.0,
N1,1211,link,,,23.4793327,91.1234716,547.0,
N1,2756,intersection,,,23.9570833,91.1155556,436.0,
N1,1213,bridge,A,,23.479544924,91.129047144,2.9,AMTOLI SLAB CULVERT
N1,1214,link,,,23.4767216,91.1364441,1000.0,
N1,1215,link,,,23.4682216,91.1394441,1000.0,
N1,1216,link,,,23.4595833,91.1421386,1000.0,
N1,1217,bridge,A,,23.459,91.142333,68.0,DHANPUR RCC GIDER BRIDGE
N1,1218,link,,,23.4513056,91.1460552,932.0,
N1,1219,link,,,23.448833,91.1471386,303.0,
N1,1220,link,,,23.4486386,91.1472497,24.0,
N1,1221,link,,,23.4469441,91.1481386,210.0,
N1,1222,link,,,23.4425274,91.1497774,463.0,
N1,1223,link,,,23.4373886,91.1521944,684.0,
N1,1224,link,,,23.4288882,91.1553889,1000.0,
N1,1225,link,,,23.4236938,91.1626944,980.0,
N1,1226,link,,,23.4235827,91.1629722,28.0,
N1,1227,link,,,23.423416,91.1632778,37.0,
N1,1228,link,,,23.4213604,91.167666,508.0,
N1,1229,bridge,B,,23.4212487704918,91.1678943372365,35.9,PADUAR BAZER RCCGIDER
N1,1230,link,,,23.4195271,91.171416,427.0,
N1,1231,bridge,C,,23.4191382,91.1721938,90.0,Mostapur Bridge
N1,1232,link,,,23.4149444,91.1801382,538.0,
N1,1233,link,,,23.4131111,91.1846663,511.0,
N1,1234,link,,,23.4130556,91.1849163,28.0,
N1,1235,link,,,23.4125,91.1893886,461.0,
N1,1236,link,,,23.4113056,91.1988886,1008.0,
N1,1237,link,,,23.4100833,91.2087778,1027.0,
N1,1238,bridge,A,,23.4100278,91.2090833,37.0,RAZAPARA RCC GIDER BRIDGE
N1,1239,link,,,23.4048056,91.2165278,980.0,
N1,1240,link,,,23.40375,91.2176382,172.0,
N1,1241,link,,,23.4035556,91.2178049,29.0,
N1,1242,link,,,23.398213447804338,91.22288776581436,799.0,
N1,1243,link,,,23.3915274,91.2292493,1000.0,
N1,1244,bridge,A,,23.3914441,91.2293049,10.0,SUAGAZI RCC GIDER BRIDGE
N1,1245,link,,,23.385083,91.2345552,892.0,
N1,1246,link,,,23.3849719,91.2346108,15.0,
N1,1247,link,,,23.3843886,91.2351108,83.0,
N1,1248,link,,,23.3779716,91.2403608,898.0,
N1,1249,link,,,23.3777493,91.2405274,30.0,
N1,1250,link,,,23.377166,91.2409163,72.0,
N1,1251,link,,,23.3695827,91.2462774,1000.0,
N1,1252,bridge,C,,23.3683327,91.2471108,171.0,LAL BAG RCC GIDER BRIDGE
N1,1253,link,,,23.3615278,91.2515556,904.0,
N1,1254,bridge,A,,23.3586389,91.25325,366.0,CHANSIRI BOXCUIVERT
N1,1255,link,,,23.3584444,91.2533333,24.0,
N1,1256,link,,,23.3536944,91.2561389,610.0,
N1,1257,link,,,23.3486386,91.2599444,687.0,
N1,1258,link,,,23.3463608,91.2616944,313.0,
N1,1259,link,,,23.3390552,91.2672216,1000.0,
N1,1260,link,,,23.3360274,91.2700549,444.0,
N1,1261,link,,,23.3357219,91.2703049,44.0,
N1,1262,link,,,23.3347219,91.271166,143.0,
N1,1263,link,,,23.3321938,91.2734716,369.0,
N1,1264,bridge,A,,23.3301462324,91.2748792824,24.0,MIABAZAR BOX CULVERT
N1,1265,link,,,23.3246382,91.278666,1000.0,
N1,1266,bridge,B,,23.324166,91.2791104,73.0,DOLL BARI CULVERT
N1,1267,link,,,23.3240827,91.279166,10.0,
N1,1268,bridge,A,,23.3180696869138,91.2830867321701,9.2,NOYA BAZER BOX CULVERT
N1,1269,link,,,23.3171382,91.2836941,917.0,
N1,1270,bridge,A,,23.3149444,91.2844719,270.0,LALGORE BEZER CULVERT
N1,1271,link,,,23.31475,91.2845552,19.0,
N1,1272,link,,,23.3096389,91.2861386,598.0,
N1,1273,link,,,23.3086944,91.2864163,113.0,
N1,1274,bridge,A,,23.30425,91.288583,547.0,SUPUYA BOX CULVERT
N1,1275,bridge,B,,23.3034306450331,91.2889770397351,2.6,DHARMA PUR SLAB CULVERT
N1,1276,link,,,23.3006111,91.290333,453.0,
N1,1277,bridge,B,,23.296083,91.2914997,519.0,BOWCHI BAZAR CULVERT
N1,1278,link,,,23.2959719,91.2915274,14.0,
N1,1279,link,,,23.2919163,91.2922219,467.0,
N1,1280,bridge,B,,23.2876663,91.2936386,502.0,AMAN GONG SLAB CULVERT
N1,1281,link,,,23.283583,91.2952219,498.0,
N1,1282,link,,,23.2787216,91.3002778,774.0,
N1,1283,link,,,23.2768882,91.3011944,226.0,
N1,1284,link,,,23.2686382,91.3049722,1000.0,
N1,1285,bridge,B,,23.2677493,91.3054722,116.0,HARISHARDE CULVERT
N1,1286,link,,,23.2654444,91.3064444,277.0,
N1,1287,link,,,23.2636667,91.30675,203.0,
N1,1288,bridge,B,,23.2618360940594,91.3070217386138,3.0,RANGAMATIA (1) BOX CULVERT
N1,1289,link,,,23.2601111,91.3072778,404.0,
N1,1290,bridge,B,,23.25941665,91.3073611,3.0,RANGOWATIA 2 CULVERT
N1,1291,bridge,B,,23.2587222,91.3074444,156.0,SONAGATI BOX CULVERT
N1,1292,bridge,B,,23.2576429774881,91.3076156494075,3.6,NOWA PARA BOX CULVERT
N1,1293,link,,,23.2511944,91.3086389,844.0,
N1,1294,bridge,A,,23.249833,91.3091944,174.0,KALIR BAZAR BOX CULVERT
N1,1295,bridge,B,,23.248333,91.3098056,186.0,KALIA BAZER BOC CULVERT
N1,1296,link,,,23.2481663,91.3098889,23.0,
N1,1297,link,,,23.2452774,91.3110556,347.0,
N1,1298,link,,,23.243083,91.3119167,270.0,
N1,1299,bridge,B,,23.2429040619631,91.3119739539877,19.2,BALUJURI BOX CULVERT
N1,1300,bridge,B,,23.2416941,91.3123611,163.0,CHAUDDAGARAM BOX CULVERT
N1,1301,bridge,A,,23.2397920309669,91.3125740860465,2.6,BALUZURI 2 CULVERT
N1,1302,bridge,A,,23.2344997,91.3131667,817.0,CHADDAGRAM BAZAR BOX CULVERT
N1,1303,link,,,23.2343052,91.3131667,20.0,
N1,1304,link,,,23.2314993,91.3132222,315.0,
N1,1305,bridge,B,,23.2275549,91.3135278,448.0,HAYDAR POLE BOX CULVERT
N1,1306,link,,,23.2253882,91.3135833,237.0,
N1,1307,bridge,A,,23.221416,91.3137222,450.0,FALGUNCORA CULVERT
N1,1308,link,,,23.2184993,91.3143889,328.0,
N1,1309,link,,,23.2165556,91.3149167,222.0,
N1,1310,bridge,A,,23.2103056,91.3157222,718.0,ATTOCK GRAM BOX CULVERT
N1,1311,link,,,23.2078889,91.3159722,282.0,
N1,1312,bridge,C,,23.201,91.3168049,771.0,BOSONTA PUR BOX CULVERT
N1,1313,link,,,23.1990274,91.3170549,229.0,
N1,1314,bridge,B,,23.1921108,91.3185549,865.0,BASHONTA PUR (2)
N1,1315,link,,,23.1909997,91.3192493,135.0,
N1,1316,bridge,B,,23.1866941,91.3212493,523.0,NANKORA BOX CULVERT
N1,1317,link,,,23.1866108,91.3212771,12.0,
N1,1318,link,,,23.1826382,91.3210827,465.0,
N1,1319,bridge,A,,23.1773604,91.3198049,614.0,ANDAJER BAZER BOX CULVERT
N1,1320,link,,,23.172916,91.3205271,515.0,
N1,1321,bridge,B,,23.1681382,91.3213604,546.0,DIMATOLI (1) BOX CULVERT
N1,1322,link,,,23.1680549,91.3213604,14.0,
N1,1323,link,,,23.1641389,91.3214993,440.0,
N1,1324,bridge,B,,23.1571667,91.3224993,792.0,DIMATOLY (2) BOX CULVERT
N1,1325,link,,,23.1554167,91.3232771,208.0,
N1,1326,bridge,B,,23.1496941,91.3254993,631.9999999999854,JAGARNATHPUR BOX CULVERT
N1,1327,link,,,23.1480274,91.3264993,269.0,
N1,1328,link,,,23.1471663,91.3266938,99.0000000000291,
N1,1329,bridge,B,,23.1433886,91.326666,420.99999999998545,JAGOT PUR BOX CULVERT
N1,1330,link,,,23.1382219,91.3263049,579.0000000000146,
N1,1331,bridge,B,,23.1374163,91.3264716,102.0,FOKIR BAZAR SLAB CULVERT
N1,1332,link,,,23.1295827,91.3284993,898.0,
N1,1333,bridge,B,,23.1290827,91.3287216,69.99999999998545,KAKKARA CULVERT
N1,1334,bridge,A,,23.1252363577777,91.3303863688888,6.5,HASO BOTHACH BOX CULVERT
N1,1335,link,,,23.1234993,91.3311382,675.0,
N1,1336,link,,,23.1213327,91.3320549,255.0,
N1,1337,bridge,A,,23.1193049,91.3329993,248.0,Chanara Box Culvert
N1,1338,link,,,23.1191382,91.3330827,28.0,
N1,1339,link,,,23.1113611,91.3378052,1000.0,
N1,1340,bridge,A,,23.1108056,91.3381386,75.0,PODOYA BOX CULVERT
N1,1341,link,,,23.1051111,91.3413608,720.0,
N1,1342,link,,,23.1035,91.3422497,205.0,
N1,1343,bridge,B,,23.1017563206521,91.343162998913,3.1,CHANGARPULL(II) BOX CULVERT
