,prob_A,prob_B,prob_C,prob_D,Run,Average driving time,Probs,Worst bridge delay,Worst bridge name
0,0.0,0.0,0.0,0.0,0,504.91548409332717,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0.0,bridge at id 1000004
1,0.0,0.0,0.0,0.0,1,506.1076684046193,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0.0,bridge at id 1000004
2,0.0,0.0,0.0,0.0,2,506.22774822165104,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0.0,bridge at id 1000004
3,0.0,0.0,0.0,0.0,3,508.0552644972008,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0.0,bridge at id 1000004
4,0.0,0.0,0.0,0.0,4,506.8784408457845,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0.0,bridge at id 1000004
5,0.0,0.0,0.0,0.0,5,505.8987030411449,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0.0,bridge at id 1000004
6,0.0,0.0,0.0,0.0,6,506.93657559035097,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0.0,bridge at id 1000004
7,0.0,0.0,0.0,0.0,7,507.98978110926583,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0.0,bridge at id 1000004
8,0.0,0.0,0.0,0.0,8,506.9729615547106,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0.0,bridge at id 1000004
9,0.0,0.0,0.0,0.0,9,507.8753996474139,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0.0,bridge at id 1000004
10,0.0,0.0,0.0,0.05,10,505.9051841644074,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",0.0,bridge at id 1000004
11,0.0,0.0,0.0,0.05,11,507.2275554233001,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",0.0,bridge at id 1000004
12,0.0,0.0,0.0,0.05,12,506.6848418107682,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",0.0,bridge at id 1000004
13,0.0,0.0,0.0,0.05,13,529.6433903202504,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",140.55935553401318,BARIPOLE BOX
14,0.0,0.0,0.0,0.05,14,504.389992200156,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",0.0,bridge at id 1000004
15,0.0,0.0,0.0,0.05,15,514.0934904702157,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",15.025252291683731,DONMIA
16,0.0,0.0,0.0,0.05,16,506.9314712812739,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",0.0,bridge at id 1000004
17,0.0,0.0,0.0,0.05,17,540.5706147284278,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",67.47487824341734,SHAPUR STEEL BEAM AND RCC SLAB
18,0.0,0.0,0.0,0.05,18,580.2858855304686,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",139.6715308300947,BALUKHAKI
19,0.0,0.0,0.0,0.05,19,505.81521316960954,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",0.0,bridge at id 1000004
20,0.0,0.0,0.05,0.1,20,881.9415234430895,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}",140.4277040741769,TOWN HALL MORE CULVERT
21,0.0,0.0,0.05,0.1,21,816.900818397449,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}",139.92739751349453,SHAHA BAZAR RCC GIDER BRIDGE
22,0.0,0.0,0.05,0.1,22,720.4372231805679,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}",140.25080838014765,AHARAVDHO RCC GRIDGE
23,0.0,0.0,0.05,0.1,23,734.4760735433536,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}",140.04182333858233,MOULIVI BAZAR FISHARI BRIDGE
24,0.0,0.0,0.05,0.1,24,1046.5210082658155,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}",140.22515658518523,SRIMI BRIDGE
25,0.0,0.0,0.05,0.1,25,765.2684245056078,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}",140.11388688254306,ULIBANIA BOX CULVERT
26,0.0,0.0,0.05,0.1,26,647.5438087235506,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}",140.26901247204452,MATHAMUHURI BRIDGE
27,0.0,0.0,0.05,0.1,27,717.3684634823187,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}",140.2615869633615,BANTI BRIDGE
28,0.0,0.0,0.05,0.1,28,764.9345893674524,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}",140.50584315219842,BHUYAIN DIGI CULVERT
29,0.0,0.0,0.05,0.1,29,675.94539306847,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}",140.1562410980503,SUNARAMPUR BRIGE
30,0.0,0.05,0.1,0.2,30,1634.6936023839305,"{'A': 0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",140.832272754972,MOLABI BARI CULVERT
31,0.0,0.05,0.1,0.2,31,1678.1382885812507,"{'A': 0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",140.58472117487048,SHADIPUR BOX CULVERT
32,0.0,0.05,0.1,0.2,32,1288.9319691506064,"{'A': 0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",140.4037547047628,SHANKAIL BOX CULVERT
33,0.0,0.05,0.1,0.2,33,1676.9832676983378,"{'A': 0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",140.47961833997823,PANCNDANA BRIDGE
34,0.0,0.05,0.1,0.2,34,2015.362115822709,"{'A': 0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",140.5012611229816,FIRUS PUR 1
35,0.0,0.05,0.1,0.2,35,1432.3100442043221,"{'A': 0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",140.49799034378327,MADABPUR (KACHARI)
36,0.0,0.05,0.1,0.2,36,1490.3727161348745,"{'A': 0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",140.10857186729436,ROKAM PUR RCC GIDER BRIDGE
37,0.0,0.05,0.1,0.2,37,1304.503082571941,"{'A': 0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",140.41686443419889,CHATURA CULVERT
38,0.0,0.05,0.1,0.2,38,1422.0350766535262,"{'A': 0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",140.68042796118468,GORIPUR BOX CULVERT
39,0.0,0.05,0.1,0.2,39,1252.8327301630252,"{'A': 0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",140.5410511661591,AHARAVDHO RCC GRIDGE
40,0.05,0.1,0.2,0.4,40,3241.841310831454,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",140.47646531826598,KHAMAR GOAN BOX CULVERT
41,0.05,0.1,0.2,0.4,41,3130.445881483472,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",140.6824006800376,MONKASAR BOX CULVERT
42,0.05,0.1,0.2,0.4,42,2740.0018703241894,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",140.5840750299558,DAGHANBUIYA SLAB CULVERT
43,0.05,0.1,0.2,0.4,43,3016.7129394966983,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",140.51171049552417,Minazpur Bridge
44,0.05,0.1,0.2,0.4,44,2891.443231247226,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",140.68836454214622,DHARIA BOX CULVERT
45,0.05,0.1,0.2,0.4,45,3195.9237162974414,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",140.87902339107353,MATIA PARA BOX CULVERT
