index,road,id,model_type,condition,name,lat,lon,length,bridge_name,in,out
0,N1,1000000,sourcesink,,SoSi1,23.7060278,90.443333,0.0,,0.31924402445803224,0.28692977580137113
2,N1,1000002,link,,,23.7027778,90.4504722,1000.0,,,
4,N1,1000004,bridge,A,,23.69873866,90.4588610799999,11.3,bridge at id 1000004,,
7,N1,1000007,link,,,23.693833,90.4691382,3175.0,,,
10,N1,1000010,bridge,A,,23.6946638363636,90.4877749181818,6.6,bridge at id 1000010,,
13,N1,1000013,link,,,23.697333,90.50775,3835.999999999999,,,
17,N1,1000017,bridge,C,,23.7045833,90.5188327,418.0000000000009,KANCHPUR PC GIRDER BRIDGE,,
18,N1,1000018,link,,,23.7050278,90.5193327,74.0,,,
19,N1,1000019,intersection,,,23.7060833,90.5215271,260.0,,,
20,N1,1000020,link,,,23.7025278,90.5273882,740.0,,,
21,N1,1000021,bridge,B,,23.7015278,90.5281938,112.0,KATCHPUR BOX CULVERT,,
22,N1,1000022,bridge,A,,23.6998608,90.5307216,348.0,NOYAPARA CULVERT,,
23,N1,1000023,bridge,A,,23.6974163,90.5337774,414.0,ADUPUR CULVERT,,
24,N1,1000024,link,,,23.6966386,90.5348052,126.0,,,
25,N1,1000025,bridge,A,,23.6943608,90.5376108,382.0,NAYABARI KASPUR BOX CULVERT,,
26,N1,1000026,link,,,23.6922774,90.5410552,612.0,,,
28,N1,1000028,bridge,A,,23.6911108,90.5448886,248.0,KHAS PARA BOX CULVERT,,
29,N1,1000029,bridge,A,,23.6910552,90.5451386,26.0,DAWAN BAG BOX CULVERT,,
30,N1,1000030,bridge,B,,23.6909119315151,90.5454624957575,10.6,NAYABARI BOX CULVERT,,
31,N1,1000031,link,,,23.6904163,90.546583,753.0,,,
33,N1,1000033,bridge,A,,23.6854997,90.5512778,148.0,MADAN PUR (R),,
34,N1,1000034,bridge,A,,23.6853619779342,90.5513591765258,27.5,Madanpur Bridge(R),,
35,N1,1000035,link,,,23.678166,90.5556111,852.0,,,
36,N1,1000036,bridge,A,,23.6778035,90.5558194349999,11.9,KAWTALA BOX CULVERT,,
38,N1,1000038,link,,,23.6705827,90.5599722,2000.0,,,
40,N1,1000040,bridge,B,,23.6604167,90.5671104,411.0,MALIBAG BOX CULVERT,,
42,N1,1000042,link,,,23.6583056,90.5709993,896.0,,,
45,N1,1000045,bridge,B,,23.6559167,90.5745271,21.0,LANGOLBANDO PC GIDER BRIDGE,,
47,N1,1000047,link,,,23.6539167,90.5774993,672.0,,,
49,N1,1000049,bridge,B,,23.6508889,90.5826382,339.0,DARIKANDI BRIDGE (R),,
50,N1,1000050,bridge,A,,23.6506944,90.5829993,41.0,Darikandi Bridge (R),,
51,N1,1000051,bridge,B,,23.6497543993548,90.5845490085483,24.5,SONARKALI BRIDGE(R),,
52,N1,1000052,link,,,23.6476108,90.588083,620.0,,,
53,N1,1000053,bridge,C,,23.6449441,90.5899163,354.0,MOLLIK PARA BRIDGE (R),,
54,N1,1000054,link,,,23.6397497,90.5926941,646.0,,,
56,N1,1000056,bridge,A,,23.6358608,90.5948052,520.0,KRIBORDI BOX CULVERT,,
57,N1,1000057,bridge,B,,23.6341108,90.5970274,298.0,SHADIPUR BOX CULVERT,,
58,N1,1000058,link,,,23.6335552,90.5976941,182.0,,,
60,N1,1000060,bridge,A,,23.6284668507692,90.6023015723077,89.2,MARIKHALL BRIDGE,,
61,N1,1000061,link,,,23.6262771,90.6042222,1105.0,,,
63,N1,1000063,bridge,B,,23.6242216,90.6055278,136.0,SANGAKADI CULVERT,,
65,N1,1000065,link,,,23.6204716,90.6079722,864.0,,,
68,N1,1000068,bridge,B,,23.613587384385,90.6109029561497,116.8,ASHIR CHAR (R),,
69,N1,1000069,bridge,A,,23.6095556,90.6121944,935.0,ASHIR CHAR (Right),,
70,N1,1000070,link,,,23.609,90.6124722,65.0,,,
71,N1,1000071,bridge,C,,23.6018611,90.6159722,874.0,MEGHNA BRIDGE,,
72,N1,1000072,link,,,23.6009444,90.6165556,1126.0,,,
74,N1,1000074,bridge,A,,23.5959441,90.6246938,10.0,TATULTALA CULVERT,,
75,N1,1000075,bridge,A,,23.5917497,90.6293327,674.0,BAILAKANDI CULVERT,,
76,N1,1000076,link,,,23.5896108,90.6313882,316.0,,,
77,N1,1000077,bridge,A,,23.5837497,90.6369441,874.0,MALUAKANDI CULVEDRT,,
78,N1,1000078,link,,,23.5828327,90.6378886,126.0,,,
79,N1,1000079,bridge,A,,23.5825827,90.6381386,39.0,BHATIR CHAR BRIDGE,,
81,N1,1000081,link,,,23.5776104,90.6421108,1091.0,,,
83,N1,1000083,bridge,A,,23.572166,90.6451108,308.0,ANARPUR BRIDGE(R),,
84,N1,1000084,link,,,23.5718327,90.6453052,692.0,,,
86,N1,1000086,bridge,A,,23.5639167,90.6501944,368.0,VITIKANDA - ANAR PUR CULVERT,,
88,N1,1000088,link,,,23.5604167,90.6542222,647.0,,,
91,N1,1000091,bridge,A,,23.5590278,90.6559444,162.0,ALI PURA P.C BRIDGE (RIGHT),,
93,N1,1000093,link,,,23.5562222,90.6591389,847.0,,,
95,N1,1000095,bridge,A,,23.5523333,90.6636667,242.0,VOBAR CHAR BRIDGE(R),,
96,N1,1000096,bridge,A,,23.5517421907216,90.6643538752577,28.9,BOBAIRCHAR BRIDGE(R),,
97,N1,1000097,link,,,23.5487497,90.6678327,582.0,,,
98,N1,1000098,bridge,A,,23.5474163,90.6694438,224.0,PURRANBUICHE BOX CULVERT,,
99,N1,1000099,bridge,A,,23.5469441,90.6699993,77.0,NOYAPARA,,
100,N1,1000100,link,,,23.5442219,90.6731104,443.0,,,
101,N1,1000101,bridge,A,,23.54268543125,90.6748292125,59.2,MADHAYA BAUSHIA BRIDGE(R),,
102,N1,1000102,link,,,23.542583,90.6749438,256.0,,,
103,N1,1000103,bridge,C,,23.5393910168,90.6784577888,5.1,BOCTAR KANDI BOX CULVERT,,
104,N1,1000104,link,,,23.5362497,90.681916,1000.0,,,
105,N1,1000105,bridge,A,,23.536083,90.6821382,34.0,bridge at id 1000105,,
107,N1,1000107,link,,,23.5341386,90.6843052,966.0,,,
109,N1,1000109,bridge,A,,23.5301519626506,90.6897951837349,8.4,CHAR BOUSHEA (2),,
110,N1,1000110,bridge,B,,23.529916,90.6952219,664.0,CHAR BOWSHIA BRIDGE(R),,
111,N1,1000111,link,,,23.5301382,90.6984997,336.0,,,
112,N1,1000112,bridge,C,,23.5303844733,90.7024402743,1408.8,Daud Kandi Bridge,,
116,N1,1000116,link,,,23.5314716,90.7172216,2513.0,,,
121,N1,1000121,bridge,C,,23.5324186,90.7242807234,21.8,BALDHA KHAL RCC GIDER BRIDGE,,
122,N1,1000122,link,,,23.5327216,90.7269993,487.0,,,
123,N1,1000123,bridge,B,,23.5317587831999,90.7291780095,6.0,MAIS PARA BOX CULVERT,,
126,N1,1000126,link,,,23.5293882,90.7514167,2662.0,,,
129,N1,1000129,bridge,C,,23.5298050611,90.75825325,16.5,SHAHID NAGIR,,
131,N1,1000131,link,,,23.5304438,90.7713049,3000.0,,,
134,N1,1000134,bridge,C,,23.5307493,90.7816104,53.0,SARKAR BARI CULVERT,,
136,N1,1000136,link,,,23.5312216,90.7895552,947.0,,,
138,N1,1000138,bridge,C,,23.5306938,90.7924441,955.0,AMIRABATH SLAB CULVERT,,
140,N1,1000140,link,,,23.5308882,90.8041389,1045.0,,,
143,N1,1000143,bridge,C,,23.5318234765,90.8110155135,15.9,Ginlatoly,,
145,N1,1000145,link,,,23.5346663,90.8249716,2000.0,,,
148,N1,1000148,bridge,A,,23.5329743291,90.8309774761999,12.2,RAIPUR BOX CULVERT,,
150,N1,1000150,link,,,23.5270549,90.8391386,2000.0,,,
152,N1,1000152,bridge,C,,23.5229166652,90.8442186132,4.5,AITAL BANGA BOX CULVERT,,
154,N1,1000154,link,,,23.5170827,90.8607778,3000.0,,,
156,N1,1000156,bridge,B,,23.5133056,90.8703049,64.0,ILLIOT BAZER,,
159,N1,1000159,link,,,23.5088056,90.8778604,2936.0,,,
163,N1,1000163,bridge,B,,23.5060024341,90.9021745389,5.9,KHAT GHOR BOX CULVERT,,
165,N1,1000165,link,,,23.50575,90.91525,2000.0,,,
167,N1,1000167,bridge,B,,23.5056131416,90.9214660218,3.0,BAKRA BOX CULVERT,,
170,N1,1000170,link,,,23.5043333,90.9354719,2625.0,,,
173,N1,1000173,bridge,B,,23.5024077848,90.9432418928,6.0,MATIA BAZER,,
174,N1,1000174,link,,,23.5020278,90.9448886,375.0,,,
175,N1,1000175,bridge,A,,23.5013551924,90.9473844088999,3.0,SONAPUR BOX CULVERT,,
177,N1,1000177,link,,,23.4986386,90.9651111,2457.0,,,
180,N1,1000180,bridge,B,,23.495896314,90.9715772516,4.6,KARON KHAL SLAB CULVERT,,
181,N1,1000181,link,,,23.4942219,90.9765549,1000.0,,,
182,N1,1000182,bridge,A,,23.4951386,90.9829993,694.0,MILL GHAT BOX CULVERT,,
185,N1,1000185,link,,,23.4894441,91.0033056,3023.0,,,
189,N1,1000189,bridge,C,,23.4890552,91.0120278,84.0,CHANDINA- SHAHA PARA RCC GIDER GRIDGE,,
191,N1,1000191,link,,,23.488333,91.0140833,2248.0,,,
